ID,Song Title,Artist,Rank,Key,Lead Vocals,Dale Guitar,Feel,Crowd Knows,Discriminator #1,Discriminator #2,Club Rating,SBP Song Name
71,CRAZY EDDIE'S LAST HURRAH,Reckless Kelly,3,G,Wes,Electric,Up,No,Red Dirt,,7,
38,CRAZY OVER YOU,Foster & Lloyd,2,E,Dale,Electric,Mid,No,Alt Country,,7,
73,DEAD OR IN JAIL,William Clark Green,3,C,Dale,Electric,Up,No,Red Dirt,Set Starter,3,
74,DON'T YOU EVER CALL ME COWBOY,DC,3,G,Dale,Acoustic,Mid,No,Original,,7,
4,DRINK IN MY HAND,Eric Church,1,C,Dale,Electric,Mid,Yes,Contemporary,Line Dance,3,
5,DRINKING PROBLEM,Midland,1,A,Dale,Acoustic,Mid,Yes,Contemporary,Couples Dance,1,
40,EL CERRITO PLACE,Charlie Robison,2,D,Dale,Electric,Slow,Yes,Contemporary,Couples Dance,3,
105,EVERYTHING I LOVE,Morgan Wallen,,G#,Dale,,,,,,,
79,EVERYTIME YOU PUT ME DOWN,Colt.46,3,F,Dale,Electric,Mid,No,Original,Dormant,,
6,FAST AS YOU,Dwight Yoakam,1,E,Dale,Either,Up,Yes,Classic Country,Line Dance,3,
41,FEET DON'T TOUCH THE GROUND,Stoney Larue,2,G,Dale,Acoustic,Slow,No,Red Dirt,Couples Dance,5,
42,FIGHTIN FOR     ,Cross Canadian Ragweed,2,A,Dale,Electric,Mid,No,Red Dirt,,9,
80,FIREMAN                 ,George Strait,3,A,Dale,Acoustic,Up,Yes,Classic Country,Swing,5,
31,FISHIN IN THE DARK,,,,John,Acoustic,Mid,Yes,Classic Country,Line Dance,1,
8,FOLSOM PRISON BLUES,Johnny Cash,1,E,Dale,Acoustic,Up,Yes,Classic Country,Line Dance,3,
9,FREE AND EASY DOWN THE ROAD,Dierks Bently,1,G,Dale,Electric,Up,Yes,Contemporary,Set Starter,1,
11,GETTIN TOUGH (GOOD OLD BOY),Steve Earle,1,A,Dale,Electric,Mid,No,Alt Country,,1,
12,GIN SMOKE AND LIES,Turnpike Troubadours,1,G,Dale,Acoustic,Mid,No,Red Dirt,,3,
84,GONE COUNTRY,Allan Jackson,3,G,Dale,Electric,Mid,Yes,Classic Country,,,
82,GOT TO GIVE,Colt.46,3,A,Dale,Electric,Mid,No,Original,Dormant,,
44,GREEN & DUMB,Roger Clyne,2,G,Dale,Electric,Waltz,No,Red Dirt,Couples Dance,5,
39,GREEN RIVER,,,,John,Either,Mid,Yes,Rock,,7,
45,GUITAR TOWN            ,Steve Earle,2,G,Dale,Acoustic,Mid,No,Alt Country,Set Starter,5,
85,GUITARS CADILLACS,Dwight Yoakam,3,A,Dale,Acoustic,Up,Yes,Classic Country,Swing,5,
13,HALF OF ME,Thomas Rhett,1,G,Dale,Acoustic,,,Contemporary,,,
14,HANDLE ON YOU,Parker McCollum,1,F#,Dale,Acoustic,Mid,,Contemporary,,,
43,HARD LIVING,,,,John,Acoustic,Mid,Yes,Contemporary,,1,
46,HEAD OVER BOOTS,Jon Pardi,2,G,Dale,Acoustic,Mid,Yes,Contemporary,Couples Dance,1,
15,HELL OF A VIEW,Eric Church,1,F,Dale,Acoustic,Mid,Yes,Contemporary,Couples Dance,,
88,HIGHWAYS & BROKEN HEARTS,Eli Young Band,3,G,Dale,Acoustic,Waltz,No,Red Dirt,Couples Dance,5,
48,HOW I GOT TO MEMPHIS,,,,John,Acoustic,Mid,Yes,Classic Country,Couples Dance,5,
16,I LOOK FOR YOU,Kevin Welch,1,D,Dale,Acoustic,Mid,No,Red Dirt,,5,
17,I'LL SING ABOUT MINE,Adam Hood / Josh abbot,1,G,Dale,Acoustic,Up,No,Red Dirt,Set Starter,3,
89,IN THE TWILIGHT,Micky & The Motorcars,3,C,Dale,Electric,Mid,No,Red Dirt,,7,
47,IT AIN'T EASY BEING ME           ,Chris Knight,2,Ab,Dale,Acoustic,Slow,No,Red Dirt,Couples Dance,5,
90,KING OF THE HILL,Refreshments,3,E,NA,Electric,Up,Yes,Interlude,,3,
49,LAST DANCE WITH MARY JANE      ,Tom Petty,2,C?,Dale,Electric,Mid,Yes,Rock,,3,
55,LEAVE YOUR HAT ON,,,,John,Electric,Mid,Yes,Rock,,7,
51,LISTEN TO HER HEART,Tom Petty,2,A,Dale,Electric,Up,Yes,Rock,,7,
18,LITTLE FEATHERED INDIANS,Tyler Childers,1,G,Dale,Acoustic,Mid,Yes,Alt Country,,,
50,LITTLE SISTER,Dwight Yoakam,2,E,Dale,Acoustic,Up,Yes,Classic Country,Dormant,,
60,LONESOME ORNERY AND MEAN,,,,John,Electric,Mid,Yes,Classic Country,,5,
92,LONG WHITE CADILLAC,Dwight Yoakam,3,E,Dale,Acoustic,Up,No,Alt Country,Dormant,,
61,LOOK GOOD IN MY SHIRT,,,,John,Electric,Up,Yes,Contemporary,,3,
19,LOT OF LEAVIN LEFT TO DO,Dierks Bently,1,B,Dale,Acoustic,Up,Yes,Contemporary,Set Starter,1,
20,LUCKENBACH TEXAS,Waylon,1,G,Dale,Electric,Slow,Yes,Classic Country,Couples Dance,3,
21,MAKE IT SWEET,Old Dominion,1,G,Dale,Acoustic,Mid,Yes,Contemporary,,1,
22,MAMA TRIED,Merle,1,D,Dale,Acoustic,Mid,Yes,Classic Country,,3,
52,MAMAS DON’T LET BABIES BE COWBOYS,Waylon,2,D,Dale,Electric,Waltz,Yes,Classic Country,Couples Dance,3,
23,ME AND MY KIND,Cody Johnson,1,D,Dale,Acoustic,Mid,Yes,Alt Country,,,
93,NOBODY WANTS TO BE ALONE,Ryan Beaver,3,G,Dale,Acoustic,Up,No,Red Dirt,,,
24,NOBODY'S GIRL           ,Reckless Kelly,1,A,Dale,Electric,Up,No,Red Dirt,,3,
25,NOTHIN ON BUT THE RADIO,Gary Allan,1,A,Dale,Acoustic,Mid,Yes,Contemporary,Couples Dance,1,
94,OKLAHOMA BREAKDOWN        ,Stoney Larue,3,A,Dale,Electric,Mid,No,Red Dirt,Set Starter,1,
72,ONE MORE GOODBYE ,,,,John,Acoustic,Mid,No,Red Dirt,Couples Dance,7,
95,PERFECT C&W SONG,David Allen Coe,3,G,Dale,Acoustic,Mid,Yes,Classic Country,,7,
53,PLEASE PLEASE BABY           ,Dwight Yoakam,2,E,Dale,Acoustic,Up,Yes,Classic Country,Swing,5,
106,PONCHO AND LEFTY,Willie & Merle,,D,Merrill,,,,,,,
75,PRAYER FOR THE LONELY,,,,John,Electric,Up,No,Red Dirt,,7,
76,PRIDE AND JOY,,,,John,Electric,Up,Yes,Rock,,7,
77,RAGGED AS THE ROAD,,,,John,Either,Up,No,Red Dirt,,7,
78,RAMBLIN MAN,,,,John,Electric,Mid,Yes,Classic Country,,5,
54,ROAD GOES ON FOREVER,Robert Earle Keen,2,E,Dale,Acoustic,Up,No,Red Dirt,Swing,3,
96,ROSALINE,Colt.46,3,D,Dale,Acoustic,Up,No,Original,Swing,3,
26,SHOULD'VE BEEN A COWBOY,Toby Keith,1,G,Dale,Acoustic,Up,Yes,Classic Country,,3,
83,SIMPLE MAN,,,,John,Electric,Slow,Yes,Rock,,7,
56,SOMEDAY               ,Steve Earle,2,G,Dale,Acoustic,Mid,No,Alt Country,,7,
81,SUICIDE BLUES,,,,John,Electric,Up,No,Red Dirt,Dormant,,
57,SUPPOSED TO BE,Colt.46,2,D,Dale,Acoustic,Up,No,Original,,5,
86,SUZIE Q,,,,John,Electric,Mid,Yes,Rock,,5,
87,TEN MILES DEEP,,,,John,Electric,Mid,No,Red Dirt,,3,
58,TEXAS 1880             ,Foster & Lloyd,2,G,Dale,Acoustic,Mid,No,Alt Country,,3,
27,THAT AIN'T MY TRUCK,Rhett Akins,1,G,Dale,Acoustic,Up,Yes,Contemporary,,1,
59,THE RAIN CAME DOWN,Steve Earle,2,G,Dale,Acoustic,Mid,No,Alt Country,,5,
91,THERE SHE GOES,,,,John,Acoustic,Mid,No,Contemporary,,1,
97,THINK I'LL JUST STAY HERE AND DRINK,Merle,3,A,Dale,Acoustic,Mid,Yes,Classic Country,,5,
99,THIS OLD GUITAR,Colt.46,3,G,Dale,Acoustic,Mid,No,Original,,5,
100,TRAINS,Colt.46,3,D,Dale,Acoustic,Slow,No,Original,Couples Dance,5,
28,TROUBLE,Wade Bowen,1,Ab,Dale,Electric,Mid,No,Red Dirt,,7,
29,TULSA TIME            ,Don Williams,1,E,Dale,Electric,Mid,Yes,Classic Country,,3,
107,TUPELO,Jason Isbell,,,Merrill,,,,,,,
103,VANCOUVER,Reckless Kelly,3,G,Dale,Electric,Slow,No,Red Dirt,,5,
98,WHAT A CRYIN SHAME,,,,John,Electric,Mid,Yes,Classic Country,,3,
62,WHEN I'M STONED  ,Jason Boland,2,A,Dale,Electric,Up,No,Red Dirt,Set Starter,3,
63,WHITEHOUSE ROAD,Tyler Childers,2,G,Dale,Acoustic,Mid,Yes,Alt Country,,,
101,WHO'LL STOP THE RAIN         ,,,,John,Electric,Mid,Yes,Rock,,3,
102,YOU CAN COME CRYIN       ,,,,John,Electric,Slow,No,Alt Country,,5,
64,YOU OWE ME A BEER,Colt.46,2,A,Dale,Electric,Up,No,Original,,3,
104,YOU WRECK ME,,,,John,Electric,Up,Yes,Rock,,3,
